id,character_id,story_title,series_or_anthology,genre,story_length,type_of_rep,character_importance,rep_noteswarnings,other_noteswarnings,cover
1,1,Angel Radio,,SF,Novel (long),Word used,Main,Gav is an alien. Not described as related within the text.,,
2,2,Good Angel,Good Angel Duology,Urban Fantasy,Webseries,Word used,Lead,"MC is an angel, angels are generally aromantic asexual agender and thus exact labels for MC/her mild love interest are a little shaky.","Sex, bit of violence. Up to read at the moment on Ao3/Wattpad from 'Crow-Caller'",
3,3,Into the Hollowed Veil,Enchanted Soles,Urban Fantasy,Anthology,On page,Lead,,Polyamory,
4,4,Into the Hollowed Veil,Enchanted Soles,Urban Fantasy,Anthology,On page,Main,,Polyamory,
5,5,And If the Body Were Not the Soul,,SF,Short story,On page,,Ro idealises becoming non-human Touch repulsed,,
6,6,Inheritance,Jack of Knights,Urban Fantasy,Novel (long),On page,Lead,,"Themes: gaslighting, bullying, emotional abuse, drug use, addiction, PTSD",
7,6,Knight of Flames,Jack of Knights,Urban Fantasy,Novel (long),Word used,Lead,,"Addiction, trafficking, bullying, PTSD, gore",
8,6,Lord of Ravens,Jack of Knights,Urban Fantasy,Novel (long),Word used,Lead,,"PTSD, depersonalisation, strongly implied rape, incest, addiction, bullying, homophobia, child abuse",
9,7,Survival Rout,Earthside,Portal Fantasy,Novel (long),Word of God,,Premise has girls being sexual prizes for boys. Hana's aromanticism is only implied (assumed). Asexuality described as no interest in sex.,,
10,8,Blood Borne,The Republic,Fantasy,Novel (long),On page,Lead,Character's divorce is unrelated to his asexuality.,"Misgendering, use of a deadname.",
11,9,Colors,,Fantasy,Novella,On page,Main,"Asexuality described as """"not interested in sex"". Another character thinks this means he will die alone and is fine with that. *have not read yet but be careful with this one""",These seem to be available in Italian too!,
12,10,Yash&Ryo Lost in the Milky Way,,SF/Fantasy,Novella,Word used,Lead,,TW for abuse and rape (in the character's past),
13,11,Iwunen Interstellar Investigations,Iwunen Interstellar Investigations,SF,Webseries,Word used,Lead,"About the QPP--relationship is between two demi and nb queer characters. Author was unsure if it should qualify, my gut said yes, I decided to list it as such. YMMV Relationship also takes a while to take off (webseries + demi characters do that. :))",Space opera The two protagonists are also kinky and will end up in a D/s relationship,
14,12,Iwunen Interstellar Investigations,Iwunen Interstellar Investigations,SF,Webseries,Word used,Lead,"About the QPP--relationship is between two demi and nb queer characters. Author was unsure if it should qualify, my gut said yes, I decided to list it as such. YMMV Relationship also takes a while to take off (webseries + demi characters do that. :))",Space opera The two protagonists are also kinky and will end up in a D/s relationship,
15,13,Plastic Wings,The Evie Weiss Chronicles,Fantasy,Novel (long),On page,Lead,,YA,
16,14,From Under the Mountain,The Trident Chronicles,Fantasy,Novel (long),Word of God,Lead,,Contains graphic gore,
17,15,The Traitor's Tunnel,The Trident Chronicles,Fantasy,Novella,On page,Lead,,,
18,15,From Under the Mountain,The Trident Chronicles,Fantasy,Novel (long),Word of God,Side,,Contains graphic gore,
19,16,We Awaken,,Paranormal Romance,Novel (short),Word used,Lead,,"tw for aromisia, acemisia (called out on page), sexual assault during a dream scene",
20,17,We Awaken,,Fantasy,Novel (short),Word used,Main,,"Paranormal. tw for aromisia, acemisia (called out on page), sexual assault during a dream scene",
21,18,The Galloway Road,,Fantasy,Short story,On page,Lead,,Friendship focus! Off-screen fridging.,
22,19,Viral Airwaves,Viral Airwaves,SF,Novel (long),Word Used,Lead,,"Murder, abuse, firearms, suicide, illness, casual homophobia, police brutality, riots, torture",
23,20,City of Strife,Isandor,High Fantasy,Novel (long),On page,Main,"Nevian's aceness is never directly connected to the abuse (and is stated to predate it), but he is touch averse and that is related. Also sex-repulsed. Pairing occurs in City of Betrayal","Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, police brutality, racism, family death, death by fire (mention), memory loss, and hanging",
24,20,City of Betrayal,Isandor,High Fantasy,Novel (long),Word Used,Main,"Nevian's aceness is never directly connected to the abuse (and is stated to predate it), but he is touch averse and that is related, so YMMV.","Major TW for Abuse--physical, emotional, mental. Torture, homelessness, child abandonment, racism, family death, memory loss, mind control.",
25,21,City of Strife,Isandor,High Fantasy,Novel (long),Word of God,Main,"Nicknamed Angry Grey-Ace Rage baby, aceness only canon in book 3.","Major TW for Abuse--physical, emotional, mental. Torture, homelessness, child abandonment, police brutality, racism, family death, death by fire (mention), memory loss and hanging",
26,21,City of Betrayal,Isandor,High Fantasy,Novel (long),Word of God,Main,"Nicknamed Angry Grey-Ace Rage baby, aceness only canon in book 3.","Major TW for Abuse--physical, emotional, mental. Torture, homelessness, child abandonment, racism, family death, memory loss, mind control.",
27,22,Keeper of the Dawn,,Fantasy,Novella,On page,Lead,"Asexuality described as abnormal, sexual pressure on the ace character","Antisemitism, fatphobia, dark racial stereotypes consistently portrayed as negative (skin tone, hooked nose, etc.)",
28,23,Loyal Valley: Assassination,Loyal Valley,Steampunk,Novella,On page,Main,"Harassed for not being in a relationship, expresses discomfort at being wrongly labeled gay","Western steampunk! Child death (off page), PTSD and flashbacks. Abduction (off page), threatened rape (off page), and 1870s attitudes. Medical horror, ableism.",
29,23,Loyal Valley: Captives,Loyal Valley,Steampunk,Novel (short),On page,Main,Relationship significant part of the plot,"Western steampunk! Warning for abduction, teens being foolish, medical horror, and period-correct (1870s) attitudes",
30,23,Loyal Valley: Bystanders,Loyal Valley,Steampunk,Novel (short),On page,Main,"Harassed for not being in a relationship, expresses discomfort at being wrongly labeled gay","Western steampunk! Off page child death, multiple characters with PTSD and flashbacks. Warning for past abduction, mention of past threatened rape, and period-correct (1870s) attitudes",
31,24,Look Behind You,The Order of the Silver Star,Fantasy,Novella,On page,Lead,"Married character, widowed on page, new relationship later","WWII setting; warning for Holocaust mentions, anti-German slurs, discussion of mind control and drugging, racism in '20s USA, mention of attempted rape and gruesome RL incidents.",
70,55,Always Be You,Chameleon Moon,SF/Fantasy,Anthology,On page,Main,,Polyromantic,
32,25,Look Behind You,The Order of the Silver Star,Fantasy,Novella,On page,Lead,Attraction more implied than shown. Narration discusses his discomfort at being a target of advances,"WWII setting; warning for Holocaust mentions, anti-German slurs, discussion of mind control and drugging, racism in '20s USA, mention of attempted rape and gruesome RL incidents.",
33,26,Wolves in the Fold,,Fantasy,Novella,On page,Lead,,,
34,27,"Swansea, The Majestic",Sweet Revenge,Dieselpunk,Webseries,On page,Main,,"Benny is a trans man (not mentioned on page yet, but it will be), he and his partner are in an open D/s relationship.",
35,28,"Swansea, The Majestic",Sweet Revenge,Dieselpunk,Webseries,Word of God,Side,"Nathaniel is still discovering his sexuality. Rep will be on page in future chapters. (added Sept 16, 2017)",CW: Kidnapping.,
36,29,"Swansea, The Majestic",Sweet Revenge,Dieselpunk,Webseries,Word of God,Side,"Rep will be on page in future installments (added Sept 16, 2017)","Ezekial has a longtime, long distance partner.",
37,30,Deadly Sweet Lies,The Dream War Saga,Urban Fantasy,Novel (long),Word used,Lead,Biromanticism unconfirmed in book.,"YA, paranormal",
38,31,Island of Exiles,Ryogan Chronicles,Fantasy,Novel (long),Word used,Side,,"YA. Book includes a full, separate third gender, which is what Etaro is.",
39,32,Daughter of Mystery,Alpennia,"Historical, Fantasy, Romance",Novel (long),Word of God,Side,,,
40,32,The Mystic Marriage,Alpennia,"Historical, Fantasy, Romance",Novel (long),On page,Lead,Unwanted sexual relationship (consent given),,
41,32,Mother of Souls,Alpennia,"Historical, Fantasy, Romance",Novel (long),Word of God,Side,,Trans character is revealed w/o his consent.,
42,33,A Study of Fiber and Demons,,Fantasy,Novella,On page,Main,Sylvestra is a sex-favorable ace who engages in on-page sex. There is an instance of an allosexual character using an anti-ace insult toward Sylvestra; the other character later apologizes to her.,"Rivals-to-lovers polyamorous trio. General CW for readers with claustrophobia, nyctophobia, and hydrophobia.",
43,34,The Case of the Arms Dealers,Kanaan & Tilney,SF/Fantasy,Novel (short),On page,Lead,Contains sex scenes (for sex-repulsed aces),Ownvoices on demisexuality :),
44,34,The Case of the Man Eater,Kanaan & Tilney,SF/Fantasy,Novel (short),On page,Lead,,,
45,34,The Case of the Undead Wood,Kanaan & Tilney,SF/Fantasy,Novel (short),On page,Lead,,,
46,35,Wandering Star,,Romance SF,Novella,On page,Main,Main character who he is paired with is in a sexual relationship (poly).,,
47,37,Daybreak Rising,Embers of Redemption,SF/Fantasy,Novel (long),On page,Main,,,
48,38,Sparks,Out for a Hero,SF/Fantasy,Anthology,,Side,,LGBT Superhero anthology,
49,39,Sere from the Green,Shapeshifter Chronicles,Urban Fantasy,Novel (long),Word of God,Main,,,
50,40,Sere from the Green,Shapeshifter Chronicles,Urban Fantasy,Novel (long),Word of God,Side,"Can be misread as """"robotic"""" (is not)""",QPP may happen in future books!,
51,41,Sere from the Green,Shapeshifter Chronicles,Urban Fantasy,Novel (long),Word of God,Side,,QPP may happen in future books! Good guy asshole,
52,42,From the Ashes,Shapeshifter Chronicles,Urban Fantasy,Novel (long),Word of God,Side,,,
53,43,Beyond Here Lies Nothing,,"Post-apocalyptic, Dystopian",Novel (short),On page,Lead,Off-page sexual assault (alluded to only),"Descriptions of brainwashing, gaslighting, and physical violence",
54,44,Beyond Here Lies Nothing,,Post-apocalyptic/Dystopian,Novel (short),On page,Main,Off-page sexual assault (alluded to only),"Descriptions of brainwashing, gaslighting, and physical violence",
55,45,To Love a Cat,Feather by Feather and Other Stories,SF/Fantasy,Anthology,Word used,Lead,,Happy For Now ending,
56,46,The Princess Who Didn't Eat Cake,,Fantasy,Short story,On page,Lead,"Descriptions of acephobia, cake analogy expanded",Threats of suicide. Short literary tale to expain demisexuality. Ebook contains essays about its flaws,
57,47,Fourth World,Iamos Trilogy,"Science Fiction, Young Adult",Novel (long),On page,Lead,Sex-repulsed,Aromisia,
58,47,New World,Iamos Trilogy,"Science Fiction, Young Adult",Novel (long),Word used,Lead,Sex-repulsed,Aromisic microaggressions,
59,48,Fourth World,Iamos Trilogy,"Science Fiction, Young Adult",Novel (long),Word used,Lead,,Aromisic microaggressions,
60,48,New World,Iamos Trilogy,"Science Fiction, Young Adult",Novel (long),Word used,Lead,,Aromisic microaggressions,
61,49,The Cybernetic Tea Shop,,SF,Novella,Word Used,Lead,"Relationship is with a robot, though it is not presented as The Only Option",,
62,50,The Cybernetic Tea Shop,,SF,Novella,On page,Main,Sal is a robot,,
63,51,The Changing of Allison Dutch,Allison Dutch,Cuil,Novel (short),Word Used,Main,"Jean is extremely romantic (panromantic) and participates in sex with Queen Aeryn. In fact, the entire logmin race is functionally and explicitly asexual. He is polyamorous.","cw brutality, sexual assault, racism, abuse Series is about family, genetic sexual attraction, the toxicity of abusive romantic culture, and what it's like to be a Black woman in a fucked up world. It features vampires and other supernatural creatures (including aliens), bdsm/kink, and an apocalypse.",
64,52,Razi's Odd Planet,The Black Tree,Cuil,Novella,Word of God,Main,"Damon is a male demon who's capable of birthing children. He seems to be pansexual but his romantic orientation is unclear, though possibly demiromantic. He tends to develop monogamous relationships, though has ongoing QPPs with Ariel, Michon, and Mark Blue.","cw explicit language (though not graphic sexuality), ableism, romance supremacy, gruesome death, some torture, and assault Polyamory, queer cast of colour, explores gender, race, disability relationships.",
65,53,Voltrozi: Planet of En-Suckers,Mark's Chronicles,Cuil,Novella,Word Used,Main,Pazia and Mark have an open relationship *because* she is asexual and he is not.,"This series features explicit graphic violence, abuse, and sex, some sexual assault, and crude language throughout",
66,54,Always Be You,Chameleon Moon,"SF/Fantasy, Superheroe",Anthology,On page,Main,Aces negotiation consent and boundaries around sex/romance,Polyromantic,
67,54,Life Within Parole,Chameleon Moon,"SF/Fantasy, Superheroe",Anthology,On page,Main,,Polyromantic,
68,54,Chameleon Moon,Chameleon Moon,"SF/Fantasy, Superheroe",Novel (long),Word used,Lead,,"Polyromantic, tw memory loss, torture, burns and fires in various ways, dismemberment, gunshots, transmisia (called out), possession",
69,54,The Lifeline Signal,Chameleon Moon,"SF/Fantasy, Superheroe",Novel (long),On page,Side,,Polyromantic,
71,55,The Lifeline Signal,Chameleon Moon,SF/Fantasy,Novel (long),On page,Main,,Polyromantic,
72,55,Life Within Parole,Chameleon Moon,SF/Fantasy,Anthology,On page,Main,,Polyromantic,
73,56,Life Within Parole,Chameleon Moon,"SF/Fantasy, Superheroes",Anthology,On page,Main,Sometimes referred though as a zombie. Good flipping around of the ace & death trope.,Polyromantic,
74,56,Chameleon Moon,Chameleon Moon,"SF/Fantasy, Superheroes",Novel (long),Word of God,Side,Sometimes referred though as a zombie. Good flipping around of the ace & death trope.,"Polyromantic, tw memory loss, torture, burns and fires in various ways, dismemberment, gunshots, transmisia (called out), possession",
75,57,The Book of How to Live,Beneath Ceaseless Skies,Fantasy,Novella,On page,Lead,,"1) Efronia is autistic. 2) the bond she forms with Atarah is about their mutual work, both in artifice and for the revolution. Work is the primary axis, and their budding romance is secondary to it.",
76,58,Every Heart A Doorway,Wayward Children,Portal Fantasy,Novel (short),Word Used,Lead,"Death-related ace, sometimes conflates romantic attraction with asexuality, ace self-exiles","Graphic gore (affects most body parts), transmisia (called out on page)",
77,59,Climbing the Date Palm,Mangoverse,Fantasy,Novel (short),Word of God,Main,,,
78,59,The Olive Conspiracy,Mangoverse,Fantasy,Novel (short),Word of God,Main,,,
79,59,The Second Mango,Mangoverse,Fantasy,Novel (short),On page,Main,,,
80,59,Tales from Perach,Mangoverse,Fantasy,Novel (short),On page,Main,"Contains threats of sexual assault (for being pretty), against the second ace character (not from Riv)","Story is ""Rivka in Port Saltspray""",
81,59,A Harvest of Ripe Figs,Mangoverse,Fantasy,Novel (short),Word of God,Main,,,
82,60,The Spider's Web,The Evie Cappelli Series,Urban Fantasy,Novel (short),Word of God,Lead,,CW for depression and anxiety (MC). Rep is Word of God in Book1 but stated later in the series (unpublished as of now),
83,61,The Spider's Web,The Evie Cappelli Series,Urban Fantasy,Novel (short),Word of God,Main,,CW for depression and anxiety (MC).,
84,62,Hello World,.exe Chronicles,SF,Novel (short),Word used,Lead,,"Lot of gun play, one sex scene",
85,63,Commit to the Kick,Welcome to PHU (Twinned Trilogy),Urban Fantasy,Webseries,On page,Main,POV character (Rory's best friend) has issues with family revolving around his magical Talent but which may also include sexuality.,Grief (not Rory). Story includes polyamorous and pansexual representation through Rory's family (M/M/F),
86,64,Good Angel,Good Angel Duology,Urban Fantasy,Webseries,On page,Main,,,
87,65,The Ascencion,,SF/Fantasy,Webseries,On page,Main,,"Strong violence, death, mild gore. Autistic character. Up to read on Wattpad under Crow-caller",
88,66,Terminal,Terminal Trilogy,Urban Fantasy,Webseries,Word used,Lead,,"Story about friendship/toxic friendships. Presence of strong language, deaths, bloodshed, violence. On Wattpad and AO3 under Crow-caller",
89,66,Radicle,Terminal Trilogy,Urban Fantasy,Webseries,Word of God,Side,,"Violence, death, bloodshed, mention of transphobia",
90,66,Umbel,Terminal Trilogy,Urban Fantasy,Webseries,Word of God,Main,,"Violence, death, bloodshed, gore, strong language.",
91,67,How to Become a Robot in 12 Easy Steps,,SF,Short story,Word Used,Lead,"Tesla wants to become a robot, fake/beard romantic relationship","CW depression, suicidal ideation",
92,68,How My Best Friend Rania Crashed A Party And Saved The World,,SF,Short story,On page,Lead,"May be also asexual--unclear. Emma is a Relator, which means she has lots of friends and counters the Lonely Aromantic trope","Near-future SF, emphasis on social media Free online!",
93,69,Haunted Heart,,Fantasy,Novella,Word of God,Lead,,"Urban fantasy; Homophobia, death (not the MC)",
94,70,Poison Kiss,Earthside,Urban Fantasy,Novel (long),Word of God,Side,"Major TW acephobia and arophobia. Athena is the grumpy old lady in a sea of young, desirable characters. This book directly implies inability to kiss means inability to make human connections.","Storyline centered around trauma,desire and sexual intimacy",
95,71,Four,The Republic,Fantasy,Novel (long),Word of God,Side,,"Explicit content, reference to self-harm",
96,72,The Crows Her Dragon’s Gate,,Fantasy,Short story,On page,Lead,"unhappy sexual/romantic relationship, dubious consent, sex scenes",,
97,73,From Under the Mountain,The Trident Chronicles,Epic/High Fantasy,Novel (long),Word of God,Side,Character dies towards the end,,
98,74,Viral Airwaves,Viral Airwaves,SF,Novel (long),On page,Side,,"Murder, abuse, firearms, suicide, illness, casual homophobia, police brutality, riots, torture",
99,74,White Renegade,Viral Airwaves,SF,Novella,On page,Main,,"Murder, abuse, firearms, fire, gunfights, casual misgendering, dead bodies",
100,75,City of Strife,Isandor,High Fantasy,Novel (long),On page,Lead,Biromantic when attraction develops. Builds the QPR throughout the novel. Questioning his aromanticism,"Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, police brutality, racism, family death, death by fire (mention) and hanging",
101,75,City of Betrayal,Isandor,High Fantasy,Novel (long),On page,Lead,Biromantic when attraction develops. Questioning his aromanticism,"Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, racism, family death, memory loss, mind control.",
